08 июн. 2026 22:06:51,225 system - system - system  INFO RemoteLogger - Executed remote method (time: 4105 ms.): exec(lsfusion.interop.connection.AuthenticationToken@8314746d, lsfusion.interop.connection.ConnectionInfo@f20e1401, Authentication.getClientCredentials, lsfusion.interop.session.ExternalRequest@40e62bbd)
08 июн. 2026 22:16:54,108 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#83,RMI:HockeyTable.player, TID - (83),5,RMI Runtime], indices : (-1,0,1)
08 июн. 2026 22:16:55,561 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues started: Thread[#83,RMI:HockeyTable.player, TID - (83),5,RMI Runtime], indices : (-1,0,2), value : П
08 июн. 2026 22:16:55,589 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - getAsyncValues ended: Thread[#83,RMI:HockeyTable.player, TID - (83),5,RMI Runtime], indices : (-1,0,2)
08 июн. 2026 22:17:00,952 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1148, SID: name(p)]
08 июн. 2026 22:17:00,963 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1148, SID: name(p)]
08 июн. 2026 22:17:02,813 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1154, SID: number(p)]
08 июн. 2026 22:17:02,820 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1154, SID: number(p)]
08 июн. 2026 22:17:02,822 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:17:02,831 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:17:07,088 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1062, SID: formOk()]
08 июн. 2026 22:17:07,088 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:17:07,088 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1062, SID: formOk()]
08 июн. 2026 22:17:07,088 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:07,107 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1159, SID: playerTeam(p)]
08 июн. 2026 22:17:09,503 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1141, SID: formOk()]
08 июн. 2026 22:17:09,535 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM HIDE : FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:17:09,535 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1141, SID: formOk()]
08 июн. 2026 22:17:09,535 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:09,653 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1183, SID: _ADDFORMNEWSESSION_HockeyTable_players_p_HockeyTable_Player()]
08 июн. 2026 22:17:12,114 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:14,689 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:15,408 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction started: [ID: 1131, SID: _EDITFORMNEWSESSION_HockeyTable_Team(t)]
08 июн. 2026 22:17:15,424 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM OPEN : FORM[808765272 - HockeyTable.team,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:17:15,500 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - executeEventAction ended: [ID: 1131, SID: _EDITFORMNEWSESSION_HockeyTable_Team(t)]
08 июн. 2026 22:17:17,155 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:17,155 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[661387854 - HockeyTable.teams,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
08 июн. 2026 22:17:19,696 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]]
08 июн. 2026 22:17:19,697 admin - DESKTOP-OSJV02B - 192.168.0.112  INFO RemoteLogger - FORM CLOSE : FORM[357902989 - HockeyTable.player,RN[clientAddress: 192.168.0.112,263 - Authentication.CustomUser 'Обычный пользователь',1029363696,SQL@2039286219]]
